dataset,type,model_file,threshold,lobes,sites,avg_fps,render_output_dir,base_model_dir,mean_culled_gaussians,culled_gaussians_percent,SSIM,FLIP,baseline_avg_fps,fps_delta_vs_baseline,fps_speedup_vs_baseline,fps_percent_change_vs_baseline,config_value,config_label,quality_preserving,utility_score
drums,BASELINE,no_culling,0.0,,,241.58333333333331,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48\baseline_benchmark,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,0.0,0.0,1.0,0.0,241.58333333333331,0.0,1.0,0.0,0.0,no culling,True,1.725
drums,SG,sg_l4_t0_01.npz,0.5,4.0,,326.03,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SG\threshold_0_01\lobes_4\inference\threshold_0_5,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,160258.62,47.57,0.998,0.0049,241.58333333333331,84.44666666666666,1.3495550189720593,34.955501897205934,4.0,lobes=4,True,1.8909090909090907
drums,SV,sv_s8_t0_01_temp5.npz,0.6,,8.0,303.73,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SV\threshold_0_01\sites_8\inference\threshold_0_6,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,147976.95,43.92,0.999,0.0041,241.58333333333331,62.146666666666704,1.2572473266643671,25.72473266643671,8.0,sites=8,True,1.8636363636363635
lego,BASELINE,no_culling,0.0,,,234.9666666666667,C:\Bachelorproef\Github\nerficg\output\FasterGS\fastergs_lego_2026-04-11-10-34-51\baseline_benchmark,C:\Bachelorproef\Github\nerficg\output\FasterGS\fastergs_lego_2026-04-11-10-34-51,0.0,0.0,1.0,0.0,234.9666666666667,0.0,1.0,0.0,0.0,no culling,True,1.7113636363636364
lego,SG,sg_l4_t0_01.npz,0.5,4.0,,299.25,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\lego\SG\threshold_0_01\lobes_4\inference\threshold_0_5,C:\Bachelorproef\Github\nerficg\output\FasterGS\fastergs_lego_2026-04-11-10-34-51,134517.36,42.68,0.999,0.0041,234.9666666666667,64.2833333333333,1.2735849056603772,27.35849056603772,4.0,lobes=4,True,1.7954545454545456
lego,SV,sv_s8_t0_01_temp5.npz,0.6,,8.0,281.03,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\lego\SV\threshold_0_01\sites_8\inference\threshold_0_6,C:\Bachelorproef\Github\nerficg\output\FasterGS\fastergs_lego_2026-04-11-10-34-51,121666.51,38.61,0.999,0.0033,234.9666666666667,46.063333333333276,1.1960419917718823,19.60419917718823,8.0,sites=8,True,1.6227272727272726
mic,BASELINE,no_culling,0.0,,,373.7633333333333,C:\Bachelorproef\Github\nerficg\output\FasterGS\mic_2026-05-11-12-52-29\baseline_benchmark,C:\Bachelorproef\Github\nerficg\output\FasterGS\mic_2026-05-11-12-52-29,0.0,0.0,1.0,0.0,373.7633333333333,0.0,1.0,0.0,0.0,no culling,True,2.434090909090909
mic,SG,sg_l4_t0_01.npz,0.8,4.0,,564.2,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\mic\SG\threshold_0_01\lobes_4\inference\threshold_0_8,C:\Bachelorproef\Github\nerficg\output\FasterGS\mic_2026-05-11-12-52-29,97104.75,55.06,0.999,0.0042,373.7633333333333,190.43666666666672,1.5095113663726603,50.951136637266025,4.0,lobes=4,True,2.475
mic,SV,sv_s8_t0_01_temp5.npz,0.8,,8.0,521.68,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\mic\SV\threshold_0_01\sites_8\inference\threshold_0_8,C:\Bachelorproef\Github\nerficg\output\FasterGS\mic_2026-05-11-12-52-29,87456.88,49.59,0.999,0.0032,373.7633333333333,147.91666666666663,1.395749538478003,39.5749538478003,8.0,sites=8,True,2.431818181818182
ship,BASELINE,no_culling,0.0,,,260.97333333333336,C:\Bachelorproef\Github\nerficg\output\FasterGS\ship_2026-05-08-15-56-34\baseline_benchmark,C:\Bachelorproef\Github\nerficg\output\FasterGS\ship_2026-05-08-15-56-34,0.0,0.0,1.0,0.0,260.97333333333336,0.0,1.0,0.0,0.0,no culling,True,1.8704545454545456
ship,SG,sg_l4_t0_01.npz,0.7,4.0,,288.35,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\ship\SG\threshold_0_01\lobes_4\inference\threshold_0_7,C:\Bachelorproef\Github\nerficg\output\FasterGS\ship_2026-05-08-15-56-34,58367.21,24.53,0.999,0.0032,260.97333333333336,27.376666666666665,1.1049021611403465,10.490216114034645,4.0,lobes=4,True,1.4113636363636362
ship,SV,sv_s8_t0_01_temp5.npz,0.8,,8.0,281.25,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\ship\SV\threshold_0_01\sites_8\inference\threshold_0_8,C:\Bachelorproef\Github\nerficg\output\FasterGS\ship_2026-05-08-15-56-34,54685.44,22.98,0.999,0.004,260.97333333333336,20.276666666666642,1.0776963163541613,7.76963163541613,8.0,sites=8,True,1.2636363636363637
