dataset,type,rows,mean_fps,max_fps,mean_culled_percent,max_culled_percent,mean_ssim,min_ssim,mean_flip,max_flip,quality_preserving_rows,mean_speedup_vs_baseline,max_speedup_vs_baseline
drums,BASELINE,1,241.58333333333331,241.58333333333331,0.0,0.0,1.0,1.0,0.0,0.0,1,1.0,1.0
drums,SG,27,317.9185185185185,405.62,48.38333333333333,67.57,0.9951111111111111,0.973,0.007637037037037037,0.0288,15,1.3159786899697214,1.6790065539841326
drums,SV,27,289.51037037037037,367.18,42.47888888888889,63.99,0.9974444444444445,0.984,0.0056148148148148155,0.0222,18,1.198387183319919,1.5198896171093481
lego,BASELINE,1,234.9666666666667,234.9666666666667,0.0,0.0,1.0,1.0,0.0,0.0,1,1.0,1.0
lego,SG,27,292.6781481481481,376.75,43.17666666666667,62.37,0.9948888888888888,0.966,0.007877777777777777,0.0384,16,1.2456156113554324,1.6034189246701658
lego,SV,27,269.9185185185185,342.12,36.68333333333334,58.46,0.9973703703703704,0.982,0.0056740740740740744,0.0282,19,1.1487523841049163,1.4560363172081145
mic,BASELINE,1,373.7633333333333,373.7633333333333,0.0,0.0,1.0,1.0,0.0,0.0,1,1.0,1.0
mic,SG,27,499.3974074074074,610.65,45.06777777777778,61.03,0.9994074074074075,0.995,0.0023703703703703703,0.0078,24,1.3361326884411904,1.6337878693290764
mic,SV,27,464.1596296296296,559.0,39.86925925925926,56.79,0.9997037037037038,0.998,0.0019148148148148147,0.006,24,1.2418543720972173,1.4955988192171517
ship,BASELINE,1,260.97333333333336,260.97333333333336,0.0,0.0,1.0,1.0,0.0,0.0,1,1.0,1.0
ship,SG,27,277.43777777777774,327.89,20.866666666666667,42.0,0.9974814814814814,0.977,0.00412962962962963,0.0259,21,1.0630886084572284,1.2564118939355233
ship,SV,27,264.14296296296294,298.24,16.55185185185185,33.14,0.9991851851851853,0.993,0.002596296296296296,0.014,24,1.0121454157370982,1.1427987533847646
