dataset,type,model_file,threshold,lobes,sites,avg_fps,render_output_dir,base_model_dir,mean_culled_gaussians,culled_gaussians_percent,SSIM,FLIP,baseline_avg_fps,fps_delta_vs_baseline,fps_speedup_vs_baseline,fps_percent_change_vs_baseline,config_value,config_label,quality_preserving,utility_score
drums,BASELINE,no_culling,0.0,,,241.58333333333331,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48\baseline_benchmark,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,0.0,0.0,1.0,0.0,241.58333333333331,0.0,1.0,0.0,0.0,no culling,True,1.725
drums,SG,sg_l6_t0_01.npz,0.1,6.0,,278.41,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SG\threshold_0_01\lobes_6\inference\threshold_0_1,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,104229.7,30.94,1.0,0.0014,241.58333333333331,36.82666666666671,1.1524387719903417,15.243877199034173,6.0,lobes=6,True,2.1045454545454545
drums,SG,sg_l10_t0_01.npz,0.1,10.0,,263.9,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SG\threshold_0_01\lobes_10\inference\threshold_0_1,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,108136.96,32.1,1.0,0.0014,241.58333333333331,22.316666666666663,1.0923766816143499,9.237668161434986,10.0,lobes=10,True,1.940909090909091
drums,SG,sg_l4_t0_01.npz,0.2,4.0,,295.28,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SG\threshold_0_01\lobes_4\inference\threshold_0_2,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,118865.18,35.28,1.0,0.002,241.58333333333331,53.69666666666666,1.2222697481890308,22.226974818903077,4.0,lobes=4,True,2.172727272727273
drums,SG,sg_l6_t0_01.npz,0.2,6.0,,292.23,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SG\threshold_0_01\lobes_6\inference\threshold_0_2,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,123954.77,36.79,1.0,0.002,241.58333333333331,50.646666666666704,1.2096447050707142,20.964470507071418,6.0,lobes=6,True,2.1886363636363635
drums,SG,sg_l10_t0_01.npz,0.2,10.0,,271.32,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SG\threshold_0_01\lobes_10\inference\threshold_0_2,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,127932.26,37.97,1.0,0.002,241.58333333333331,29.73666666666668,1.1230907209382546,12.309072093825456,10.0,lobes=10,True,2.0318181818181817
drums,SG,sg_l10_t0_01.npz,0.3,10.0,,281.83,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SG\threshold_0_01\lobes_10\inference\threshold_0_3,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,141804.99,42.09,1.0,0.0026,241.58333333333331,40.24666666666667,1.166595377716454,16.659537771645393,10.0,lobes=10,True,2.1795454545454547
drums,SG,sg_l4_t0_01.npz,0.3,4.0,,305.38,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SG\threshold_0_01\lobes_4\inference\threshold_0_3,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,133835.96,39.72,1.0,0.0027,241.58333333333331,63.79666666666668,1.2640772680234564,26.407726802345643,4.0,lobes=4,True,2.268181818181818
drums,SG,sg_l10_t0_01.npz,0.4,10.0,,288.12,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SG\threshold_0_01\lobes_10\inference\threshold_0_4,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,153524.94,45.57,0.999,0.0033,241.58333333333331,46.53666666666669,1.1926319420489826,19.26319420489826,10.0,lobes=10,True,1.8454545454545457
drums,SG,sg_l6_t0_01.npz,0.4,6.0,,310.75,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SG\threshold_0_01\lobes_6\inference\threshold_0_4,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,150763.27,44.75,0.999,0.0035,241.58333333333331,69.16666666666669,1.2863056226284928,28.63056226284928,6.0,lobes=6,True,1.956818181818182
drums,SG,sg_l4_t0_01.npz,0.4,4.0,,314.27,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SG\threshold_0_01\lobes_4\inference\threshold_0_4,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,147260.67,43.71,0.999,0.0036,241.58333333333331,72.68666666666667,1.3008761641945499,30.08761641945499,4.0,lobes=4,True,1.9249999999999998
drums,SG,sg_l10_t0_01.npz,0.5,10.0,,295.99,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SG\threshold_0_01\lobes_10\inference\threshold_0_5,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,164488.38,48.82,0.999,0.0042,241.58333333333331,54.406666666666695,1.2252086926526389,22.520869265263887,10.0,lobes=10,True,1.9045454545454548
drums,SG,sg_l6_t0_01.npz,0.5,6.0,,318.9,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SG\threshold_0_01\lobes_6\inference\threshold_0_5,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,162532.3,48.24,0.998,0.0046,241.58333333333331,77.31666666666666,1.3200413935839945,32.004139358399456,6.0,lobes=6,True,1.9
drums,SG,sg_l4_t0_01.npz,0.5,4.0,,326.03,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SG\threshold_0_01\lobes_4\inference\threshold_0_5,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,160258.62,47.57,0.998,0.0049,241.58333333333331,84.44666666666666,1.3495550189720593,34.955501897205934,4.0,lobes=4,True,1.8909090909090907
drums,SG,sg_l10_t0_01.npz,0.6,10.0,,304.23,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SG\threshold_0_01\lobes_10\inference\threshold_0_6,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,175447.99,52.08,0.998,0.0057,241.58333333333331,62.646666666666704,1.2593170058640912,25.93170058640912,10.0,lobes=10,False,1.8886363636363637
drums,SG,sg_l6_t0_01.npz,0.6,6.0,,329.85,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SG\threshold_0_01\lobes_6\inference\threshold_0_6,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,174310.83,51.74,0.997,0.0062,241.58333333333331,88.26666666666671,1.3653673680579512,36.53673680579512,6.0,lobes=6,False,1.9045454545454545
drums,SG,sg_l4_t0_01.npz,0.6,4.0,,332.5,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SG\threshold_0_01\lobes_4\inference\threshold_0_6,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,173388.86,51.46,0.997,0.0069,241.58333333333331,90.91666666666669,1.3763366678164886,37.633666781648856,4.0,lobes=4,False,1.890909090909091
drums,SG,sg_l10_t0_01.npz,0.7,10.0,,314.69,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SG\threshold_0_01\lobes_10\inference\threshold_0_7,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,187358.19,55.61,0.996,0.008,241.58333333333331,73.10666666666668,1.302614694722318,30.261469472231806,10.0,lobes=10,False,1.8477272727272729
drums,SG,sg_l6_t0_01.npz,0.7,6.0,,342.39,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SG\threshold_0_01\lobes_6\inference\threshold_0_7,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,187065.7,55.52,0.995,0.0088,241.58333333333331,100.80666666666667,1.41727492238703,41.727492238703,6.0,lobes=6,False,1.8704545454545454
drums,SG,sg_l4_t0_01.npz,0.7,4.0,,353.04,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SG\threshold_0_01\lobes_4\inference\threshold_0_7,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,187469.18,55.64,0.994,0.01,241.58333333333331,111.4566666666667,1.4613590893411523,46.135908934115236,4.0,lobes=4,False,1.8613636363636363
drums,SG,sg_l10_t0_01.npz,0.8,10.0,,326.73,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SG\threshold_0_01\lobes_10\inference\threshold_0_8,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,201598.86,59.84,0.991,0.0123,241.58333333333331,85.1466666666667,1.3524525698516732,35.245256985167316,10.0,lobes=10,False,1.7999999999999998
drums,SG,sg_l6_t0_01.npz,0.8,6.0,,347.57,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SG\threshold_0_01\lobes_6\inference\threshold_0_8,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,202318.9,60.05,0.99,0.0137,241.58333333333331,105.98666666666668,1.438716798896171,43.87167988961711,6.0,lobes=6,False,1.834090909090909
drums,SG,sg_l4_t0_01.npz,0.8,4.0,,374.73,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SG\threshold_0_01\lobes_4\inference\threshold_0_8,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,204096.59,60.58,0.988,0.0158,241.58333333333331,133.1466666666667,1.5511417730251813,55.11417730251813,4.0,lobes=4,False,1.85
drums,SG,sg_l10_t0_01.npz,0.9,10.0,,353.81,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SG\threshold_0_01\lobes_10\inference\threshold_0_9,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,221719.64,65.81,0.98,0.0225,241.58333333333331,112.22666666666669,1.4645463953087272,46.45463953087272,10.0,lobes=10,False,1.7863636363636366
drums,SG,sg_l6_t0_01.npz,0.9,6.0,,379.18,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SG\threshold_0_01\lobes_6\inference\threshold_0_9,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,224219.58,66.55,0.977,0.0252,241.58333333333331,137.5966666666667,1.5695619179027251,56.95619179027251,6.0,lobes=6,False,1.7931818181818184
drums,SG,sg_l4_t0_01.npz,0.9,4.0,,405.62,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SG\threshold_0_01\lobes_4\inference\threshold_0_9,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,227642.13,67.57,0.973,0.0288,241.58333333333331,164.0366666666667,1.6790065539841326,67.90065539841325,4.0,lobes=4,False,1.7772727272727271
drums,SV,sv_s8_t0_01_temp5.npz,0.1,,8.0,266.65,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SV\threshold_0_01\sites_8\inference\threshold_0_1,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,85441.17,25.36,1.0,0.001,241.58333333333331,25.066666666666663,1.103759917212832,10.375991721283206,8.0,sites=8,True,1.9795454545454545
drums,SV,sv_s10_t0_01_temp5.npz,0.1,,10.0,253.96,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SV\threshold_0_01\sites_10\inference\threshold_0_1,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,87606.23,26.0,1.0,0.001,241.58333333333331,12.376666666666694,1.0512314591238359,5.1231459123835865,10.0,sites=10,True,1.8477272727272727
drums,SV,sv_s15_t0_01_temp5.npz,0.1,,15.0,239.97,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SV\threshold_0_01\sites_15\inference\threshold_0_1,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,90443.74,26.84,1.0,0.001,241.58333333333331,-1.6133333333333155,0.9933218351155572,-0.6678164884442839,15.0,sites=15,True,1.7795454545454545
drums,SV,sv_s8_t0_01_temp5.npz,0.2,,8.0,274.26,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SV\threshold_0_01\sites_8\inference\threshold_0_2,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,101608.46,30.16,1.0,0.0015,241.58333333333331,32.67666666666668,1.135260434632632,13.526043463263203,8.0,sites=8,True,1.9977272727272726
drums,SV,sv_s10_t0_01_temp5.npz,0.2,,10.0,265.01,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SV\threshold_0_01\sites_10\inference\threshold_0_2,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,103961.02,30.86,1.0,0.0015,241.58333333333331,23.426666666666677,1.0969713694377372,9.697136943773721,10.0,sites=10,True,1.893181818181818
drums,SV,sv_s15_t0_01_temp5.npz,0.2,,15.0,246.94,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SV\threshold_0_01\sites_15\inference\threshold_0_2,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,107050.8,31.77,1.0,0.0015,241.58333333333331,5.356666666666683,1.0221731631597104,2.2173163159710407,15.0,sites=15,True,1.7454545454545454
drums,SV,sv_s8_t0_01_temp5.npz,0.3,,8.0,281.52,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SV\threshold_0_01\sites_8\inference\threshold_0_3,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,113474.8,33.68,1.0,0.0019,241.58333333333331,39.93666666666667,1.165312176612625,16.53121766126251,8.0,sites=8,True,2.081818181818182
drums,SV,sv_s10_t0_01_temp5.npz,0.3,,10.0,275.8,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SV\threshold_0_01\sites_10\inference\threshold_0_3,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,115912.13,34.4,1.0,0.0019,241.58333333333331,34.2166666666667,1.141635046567782,14.163504656778203,10.0,sites=10,True,2.031818181818182
drums,SV,sv_s15_t0_01_temp5.npz,0.3,,15.0,252.47,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SV\threshold_0_01\sites_15\inference\threshold_0_3,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,119142.41,35.36,1.0,0.0019,241.58333333333331,10.886666666666684,1.0450638151086582,4.50638151086582,15.0,sites=15,True,1.7681818181818183
drums,SV,sv_s8_t0_01_temp5.npz,0.4,,8.0,288.3,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SV\threshold_0_01\sites_8\inference\threshold_0_4,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,124314.46,36.9,1.0,0.0023,241.58333333333331,46.7166666666667,1.1933770265608832,19.337702656088318,8.0,sites=8,True,2.1090909090909093
drums,SV,sv_s10_t0_01_temp5.npz,0.4,,10.0,283.66,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SV\threshold_0_01\sites_10\inference\threshold_0_4,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,126691.96,37.6,1.0,0.0023,241.58333333333331,42.07666666666671,1.174170403587444,17.41704035874441,10.0,sites=10,True,2.0954545454545457
drums,SV,sv_s15_t0_01_temp5.npz,0.4,,15.0,258.56,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SV\threshold_0_01\sites_15\inference\threshold_0_4,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,129974.38,38.58,1.0,0.0024,241.58333333333331,16.976666666666688,1.0702725077612971,7.027250776129712,15.0,sites=15,True,1.8136363636363637
drums,SV,sv_s8_t0_01_temp5.npz,0.5,,8.0,295.09,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SV\threshold_0_01\sites_8\inference\threshold_0_5,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,135419.62,40.19,1.0,0.003,241.58333333333331,53.50666666666666,1.2214832700931355,22.14832700931355,8.0,sites=8,True,2.168181818181818
drums,SV,sv_s10_t0_01_temp5.npz,0.5,,10.0,286.99,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SV\threshold_0_01\sites_10\inference\threshold_0_5,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,137709.51,40.87,1.0,0.003,241.58333333333331,45.406666666666695,1.187954467057606,18.79544670576061,10.0,sites=10,True,2.122727272727273
drums,SV,sv_s15_t0_01_temp5.npz,0.5,,15.0,263.8,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SV\threshold_0_01\sites_15\inference\threshold_0_5,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,140867.85,41.81,1.0,0.003,241.58333333333331,22.216666666666697,1.091962745774405,9.1962745774405,15.0,sites=15,True,1.8954545454545455
drums,SV,sv_s15_t0_01_temp5.npz,0.6,,15.0,271.14,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SV\threshold_0_01\sites_15\inference\threshold_0_6,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,152838.93,45.36,0.999,0.0039,241.58333333333331,29.556666666666672,1.122345636426354,12.234563642635399,15.0,sites=15,True,1.6386363636363637
drums,SV,sv_s10_t0_01_temp5.npz,0.6,,10.0,300.16,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SV\threshold_0_01\sites_10\inference\threshold_0_6,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,150033.25,44.53,0.999,0.004,241.58333333333331,58.57666666666671,1.2424698171783375,24.246981717833748,10.0,sites=10,True,1.8681818181818182
