dataset,type,model_file,threshold,lobes,sites,avg_fps,render_output_dir,base_model_dir,mean_culled_gaussians,culled_gaussians_percent,SSIM,FLIP,baseline_avg_fps
drums,BASELINE,no_culling,0.0,N/A,N/A,241.58333333333334,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48\baseline_benchmark,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,0.0,0.0,1.0,0.0,241.58333333333334
drums,SG,sg_l10_t0_01.npz,0.1,10.0,,263.9,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SG\threshold_0_01\lobes_10\inference\threshold_0_1,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,108136.96,32.1,1.0,0.0014,241.58333333333334
drums,SG,sg_l10_t0_01.npz,0.2,10.0,,271.32,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SG\threshold_0_01\lobes_10\inference\threshold_0_2,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,127932.26,37.97,1.0,0.002,241.58333333333334
drums,SG,sg_l10_t0_01.npz,0.3,10.0,,281.83,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SG\threshold_0_01\lobes_10\inference\threshold_0_3,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,141804.99,42.09,1.0,0.0026,241.58333333333334
drums,SG,sg_l10_t0_01.npz,0.4,10.0,,288.12,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SG\threshold_0_01\lobes_10\inference\threshold_0_4,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,153524.94,45.57,0.999,0.0033,241.58333333333334
drums,SG,sg_l10_t0_01.npz,0.5,10.0,,295.99,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SG\threshold_0_01\lobes_10\inference\threshold_0_5,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,164488.38,48.82,0.999,0.0042,241.58333333333334
drums,SG,sg_l10_t0_01.npz,0.6,10.0,,304.23,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SG\threshold_0_01\lobes_10\inference\threshold_0_6,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,175447.99,52.08,0.998,0.0057,241.58333333333334
drums,SG,sg_l10_t0_01.npz,0.7,10.0,,314.69,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SG\threshold_0_01\lobes_10\inference\threshold_0_7,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,187358.19,55.61,0.996,0.008,241.58333333333334
drums,SG,sg_l10_t0_01.npz,0.8,10.0,,326.73,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SG\threshold_0_01\lobes_10\inference\threshold_0_8,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,201598.86,59.84,0.991,0.0123,241.58333333333334
drums,SG,sg_l10_t0_01.npz,0.9,10.0,,353.81,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SG\threshold_0_01\lobes_10\inference\threshold_0_9,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,221719.64,65.81,0.98,0.0225,241.58333333333334
drums,SG,sg_l4_t0_01.npz,0.1,4.0,,277.16,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SG\threshold_0_01\lobes_4\inference\threshold_0_1,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,98745.98,29.31,1.0,0.0014,241.58333333333334
drums,SG,sg_l4_t0_01.npz,0.2,4.0,,295.28,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SG\threshold_0_01\lobes_4\inference\threshold_0_2,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,118865.18,35.28,1.0,0.002,241.58333333333334
drums,SG,sg_l4_t0_01.npz,0.3,4.0,,305.38,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SG\threshold_0_01\lobes_4\inference\threshold_0_3,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,133835.96,39.72,1.0,0.0027,241.58333333333334
drums,SG,sg_l4_t0_01.npz,0.4,4.0,,314.27,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SG\threshold_0_01\lobes_4\inference\threshold_0_4,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,147260.67,43.71,0.999,0.0036,241.58333333333334
drums,SG,sg_l4_t0_01.npz,0.5,4.0,,326.03,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SG\threshold_0_01\lobes_4\inference\threshold_0_5,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,160258.62,47.57,0.998,0.0049,241.58333333333334
drums,SG,sg_l4_t0_01.npz,0.6,4.0,,332.5,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SG\threshold_0_01\lobes_4\inference\threshold_0_6,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,173388.86,51.46,0.997,0.0069,241.58333333333334
drums,SG,sg_l4_t0_01.npz,0.7,4.0,,353.04,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SG\threshold_0_01\lobes_4\inference\threshold_0_7,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,187469.18,55.64,0.994,0.01,241.58333333333334
drums,SG,sg_l4_t0_01.npz,0.8,4.0,,374.73,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SG\threshold_0_01\lobes_4\inference\threshold_0_8,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,204096.59,60.58,0.988,0.0158,241.58333333333334
drums,SG,sg_l4_t0_01.npz,0.9,4.0,,405.62,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SG\threshold_0_01\lobes_4\inference\threshold_0_9,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,227642.13,67.57,0.973,0.0288,241.58333333333334
drums,SG,sg_l6_t0_01.npz,0.1,6.0,,278.41,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SG\threshold_0_01\lobes_6\inference\threshold_0_1,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,104229.7,30.94,1.0,0.0014,241.58333333333334
drums,SG,sg_l6_t0_01.npz,0.2,6.0,,292.23,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SG\threshold_0_01\lobes_6\inference\threshold_0_2,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,123954.77,36.79,1.0,0.002,241.58333333333334
